epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,8774.3,2.44862,1.70834,1.18811,0.35001,0.63415,0.4441,0.15865,2.85934,1.98472,1.23164,0.000940855,0.000940855,0.000940855
24,8883.78,2.42566,1.68489,1.29302,0.9136,0.5061,0.59165,0.22787,2.90408,1.91181,1.21322,0.000907848,0.000907848,0.000907848
25,8993.34,2.34509,1.66253,1.19369,0.71229,0.54872,0.57499,0.26465,2.90321,1.96362,1.13627,0.000874842,0.000874842,0.000874842
26,9102.62,2.50226,1.65362,1.19895,0.33924,0.4375,0.4224,0.19413,3.12343,2.38746,1.22898,0.000841835,0.000841835,0.000841835
27,9212.51,2.44371,1.79398,1.2498,0.27918,0.72561,0.44155,0.14004,2.96211,1.984,1.20686,0.000808828,0.000808828,0.000808828
28,9321.9,2.24891,1.85633,1.1628,0.31539,0.73171,0.47496,0.19403,2.90135,1.70463,1.18766,0.000775822,0.000775822,0.000775822
29,9430.8,2.47525,1.67013,1.24464,0.35998,0.68293,0.51791,0.23198,2.78213,1.67834,1.0933,0.000742815,0.000742815,0.000742815
30,9540.86,2.34487,1.60938,1.18714,0.40116,0.52744,0.45366,0.17967,3.03465,2.05984,1.12292,0.000709809,0.000709809,0.000709809
31,9649.73,2.09372,1.47912,1.08427,0.45103,0.50305,0.48459,0.18964,3.12811,1.79382,1.14833,0.000676802,0.000676802,0.000676802
32,9758.68,2.35965,1.74778,1.12667,0.48526,0.59604,0.52999,0.26112,3.01275,1.51799,1.17485,0.000643795,0.000643795,0.000643795
1,104.95,2.43937,4.28589,2.31452,0.65823,0.41667,0.36536,0.19004,1.11225,35.0481,1.20602,0.00038341,0.00038341,0.00038341
2,212.121,2.13308,3.69785,2.03979,0.01935,0.45513,0.15223,0.07109,2.84679,7.39519,6.3329,0.000767977,0.000767977,0.000767977
3,316.704,2.09327,3.6116,2.08894,0.51008,0.34615,0.01746,0.00688,1.4559,92.3901,1.8325,0.0011367,0.0011367,0.0011367
4,421.802,2.38809,3.83336,2.44929,0.0266,0.42308,0.04066,0.00978,1.84565,44.0547,2.47891,0.00148958,0.00148958,0.00148958
5,527.848,2.5834,3.23284,2.46854,0.03205,0.03846,0.00844,0.00261,2.4294,16.1759,3.44794,0.00153497,0.00153497,0.00153497
6,651.659,2.22297,5.42484,2.25491,0.0004,0.08333,0.00014,4e-05,2.96226,1437.7,3.62611,0.00150197,0.00150197,0.00150197
7,763.602,2.3456,4.39417,2.25038,0,0,0,0,3.62937,3.11222e+06,241.171,0.00146896,0.00146896,0.00146896
8,874.677,2.22655,3.42278,2.17359,0,0,0,0,3.21256,8.14012e+06,421.276,0.00143595,0.00143595,0.00143595
1,98.3485,2.98903,5.46949,2.00714,0.01661,0.8125,0.01678,0.00479,2.57313,35.0372,1.28274,0.00044,0.00044,0.00044
2,200.305,2.18411,4.6634,1.53876,0.00462,0.1875,0.00283,0.00052,3.56651,25.06,3.30834,0.00089109,0.00089109,0.00089109
3,299.304,2.27558,2.98471,1.86955,0.01307,0.625,0.01302,0.00328,3.21956,140.524,3.38635,0.00133307,0.00133307,0.00133307
4,399.399,2.25313,5.14879,2.0047,0.16232,1,0.45748,0.14529,2.27131,37.1016,2.41843,0.00176595,0.00176595,0.00176595
5,504.136,2.47677,7.7169,2.08668,0.00289,0.375,0.00239,0.00067,2.7044,162.087,2.73214,0.0019208,0.0019208,0.0019208
6,602.617,2.43953,3.65777,2.01462,0.00305,0.5625,0.00218,0.00062,3.19795,13694.8,3.5353,0.001901,0.001901,0.001901
7,701.025,2.26538,2.80253,2.2368,0.01799,0.4375,0.00946,0.00488,1.76997,1019.62,2.60107,0.0018812,0.0018812,0.0018812
8,800.565,2.03182,3.13512,2.09369,0,0,0,0,0,3e-05,0,0.0018614,0.0018614,0.0018614
9,900.789,2.21215,2.32663,1.97561,0,0,0,0,0,0.0168,0,0.0018416,0.0018416,0.0018416
10,1001.22,2.18344,2.01711,1.97243,0,0,0,0,0,0.19158,0,0.0018218,0.0018218,0.0018218
11,1099.69,2.08385,1.81017,1.79086,0,0,0,0,0,0.10996,0,0.001802,0.001802,0.001802
